uav_count,seed,generated_packets,delivered_packets,dropped_packets,transmission_attempts,transmission_successes,packet_delivery_ratio,avg_delivery_latency_steps,avg_hops_per_delivered,avg_total_queue_length,avg_success_rate,peak_total_queue_length,router
24,15,20,20,0,147,66,1.0,13.25,3.3,2.65,0.4489795918367347,17,gpsr
24,16,20,20,0,130,56,1.0,8.85,2.8,1.77,0.4307692307692308,10,gpsr
24,17,20,18,2,129,52,0.9,7.777777777777778,2.611111111111111,2.03,0.40310077519379844,9,gpsr
24,18,20,16,4,151,46,0.8,11.3125,2.375,3.05,0.304635761589404,11,gpsr
24,19,20,19,1,121,51,0.95,8.0,2.526315789473684,1.84,0.4214876033057851,10,gpsr
24,8,20,14,6,114,45,0.7,10.214285714285714,2.142857142857143,3.32,0.39473684210526316,14,aodv
24,9,20,15,5,115,55,0.75,9.133333333333333,3.533333333333333,2.84,0.4782608695652174,12,aodv
24,10,20,17,3,167,84,0.85,9.529411764705882,4.294117647058823,2.6,0.5029940119760479,10,aodv
24,11,20,20,0,129,58,1.0,7.05,2.9,1.41,0.4496124031007752,8,aodv
24,12,20,9,11,61,28,0.45,16.22222222222222,2.111111111111111,4.74,0.45901639344262296,16,aodv
24,13,20,20,0,101,56,1.0,7.65,2.8,1.53,0.5544554455445545,11,aodv
24,14,20,17,3,151,87,0.85,12.647058823529411,3.4705882352941178,3.3,0.5761589403973509,14,aodv
24,15,20,18,2,227,87,0.9,15.222222222222221,4.5,3.38,0.3832599118942731,15,aodv
24,16,20,20,0,171,88,1.0,9.5,4.4,1.9,0.5146198830409356,9,aodv
24,17,20,20,0,133,61,1.0,9.1,3.05,1.82,0.45864661654135336,10,aodv
24,18,20,20,0,112,60,1.0,7.55,3.0,1.51,0.5357142857142857,7,aodv
24,19,20,19,1,102,48,0.95,3.526315789473684,2.4210526315789473,0.98,0.47058823529411764,7,aodv
24,8,20,17,3,120,48,0.85,8.647058823529411,2.4705882352941178,2.4,0.4,10,slar-geo
24,9,20,16,4,170,64,0.8,13.4375,3.375,3.41,0.3764705882352941,14,slar-geo
24,10,20,16,4,152,60,0.8,10.75,3.0,3.0,0.39473684210526316,12,slar-geo
24,11,20,18,2,153,51,0.9,8.5,2.5555555555555554,2.16,0.3333333333333333,9,slar-geo
